2017-07-18 00:51:49.929 [main] INFO  o.s.b.actuate.endpoint.jmx.EndpointMBeanExporter - Located managed bean 'autoConfigurationReportEndpoint': registering with JMX server as MBean [org.springframework.boot:type=Endpoint,name=autoConfigurationReportEndpoint]
2017-07-18 00:51:49.933 [main] INFO  o.s.b.actuate.endpoint.jmx.EndpointMBeanExporter - Located managed bean 'configurationPropertiesReportEndpoint': registering with JMX server as MBean [org.springframework.boot:type=Endpoint,name=configurationPropertiesReportEndpoint]
2017-07-18 00:51:49.934 [main] INFO  o.s.context.support.DefaultLifecycleProcessor - Starting beans in phase 2147483647
2017-07-18 00:51:49.935 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
2017-07-18 00:51:49.973 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2017-07-18 00:51:49.991 [main] INFO  s.d.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
2017-07-18 00:51:50.328 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-50001"]
2017-07-18 00:51:50.347 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler [http-nio-50001]
2017-07-18 00:51:50.369 [main] INFO  org.apache.tomcat.util.net.NioSelectorPool - Using a shared selector for servlet write/read
2017-07-18 00:51:50.392 [main] INFO  o.s.b.c.e.tomcat.TomcatEmbeddedServletContainer - Tomcat started on port(s): 50001 (http)
2017-07-18 00:51:50.401 [main] INFO  com.doraemon.monitor.Main - Started Main in 10.579 seconds (JVM running for 11.63)
2017-07-18 00:52:05.261 [http-nio-50001-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring FrameworkServlet 'dispatcherServlet'
2017-07-18 00:52:05.262 [http-nio-50001-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - FrameworkServlet 'dispatcherServlet': initialization started
2017-07-18 00:52:05.293 [http-nio-50001-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - FrameworkServlet 'dispatcherServlet': initialization completed in 31 ms
2017-07-18 00:52:05.648 [http-nio-50001-exec-1] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2017-07-18 00:52:07.041 [http-nio-50001-exec-1] INFO  com.doraemon.monitor.controller.ConfigController - User Id:null IP:127.0.0.1 params: {"ip":["localhost"]}
2017-07-18 00:54:18.595 [http-nio-50001-exec-3] INFO  com.doraemon.monitor.controller.ConfigController - User Id:null IP:127.0.0.1 params: {"ip":["localhost"]}
2017-07-18 00:57:21.834 [http-nio-50001-exec-9] INFO  com.doraemon.monitor.controller.ConfigController - User Id:null IP:0:0:0:0:0:0:0:1 params: {"nick":["测试机器"],"shopId":["1111122222"],"region":["上海"],"subIps":["[{\"ip\":\"127.0.0.1\",\"nick\":\"测试\",\"type\":\"WAN\"},{\"ip\":\"127.0.0.2\",\"nick\":\"测试\",\"type\":\"WAN\"}]"],"ip":["192.168.199.118"]}
2017-07-18 00:57:32.809 [http-nio-50001-exec-10] INFO  com.doraemon.monitor.controller.ConfigController - User Id:null IP:0:0:0:0:0:0:0:1 params: {}
2017-07-18 00:57:40.150 [http-nio-50001-exec-1] INFO  com.doraemon.monitor.controller.ConfigController - User Id:null IP:0:0:0:0:0:0:0:1 params: {"ip":["192.168.199.118"]}
